,Date Range,Product Name,SKU,Category,Quantity,Start Date,Quantity Change %,4 Week Average Quantity,4 Week Avg % Change,UPC,Price Change %,modifiedUPC,Dollar Change
962,3/7/2024 to 3/13/2024,BULK MOVER CUNA ROJA 6 BUSHEL,0000000000578,SUMINISTROS,0.0,2024-03-07,,0.0,,,,,
3535,5/30/2024 to 6/5/2024,CEBOLLA SHALLOTS U.S.,0000000003035,CEBOLLAS,0.0,2024-05-30,,0.0,,,,,
3673,4/25/2024 to 5/1/2024,PAVO ENTERO CONG ADICIONAL,0000000003300,PAVOS,0.0,2024-04-25,,0.0,,,,,
3677,5/23/2024 to 5/29/2024,PAVO ENTERO CONG ADICIONAL,0000000003300,PAVOS,0.0,2024-05-23,,0.0,,,,,
3687,5/2/2024 to 5/8/2024,VENTAS NETA CAFETERIA,0000000003305,SUMINISTROS,0.0,2024-05-02,,0.0,,,,,
3695,3/28/2024 to 4/3/2024,SIERRA ENTERA EN CAJA 66 LBS,0000000003313,MARISCOS CONG/FRESCOS,2.0,2024-03-28,-0.33333333333333337,1.25,25.0,,,,
3711,4/18/2024 to 4/24/2024,PULPO ENTERO EN CAJA,0000000003314,MARISCOS CONG/FRESCOS,0.0,2024-04-18,,0.0,,,,,
3712,4/25/2024 to 5/1/2024,PULPO ENTERO EN CAJA,0000000003314,MARISCOS CONG/FRESCOS,0.0,2024-04-25,,0.0,,,,,
3715,5/16/2024 to 5/22/2024,PULPO ENTERO EN CAJA,0000000003314,MARISCOS CONG/FRESCOS,0.0,2024-05-16,,0.0,,,,,
3718,3/7/2024 to 3/13/2024,PULPO ENTERO FILIPINO CAJA 30 LB,0000000003315,MARISCOS CONG/FRESCOS,0.0,2024-03-07,,0.0,,,,,
3729,5/23/2024 to 5/29/2024,PULPO ENTERO FILIPINO CAJA 30 LB,0000000003315,MARISCOS CONG/FRESCOS,0.0,2024-05-23,,0.0,,,,,
3992,3/14/2024 to 3/20/2024,CEBOLLA BLANCA LB. (CAJA),0000000003838,VEGETALES EMPACADOS,0.0,2024-03-14,,0.0,,,,,
3994,3/28/2024 to 4/3/2024,CEBOLLA BLANCA LB. (CAJA),0000000003838,VEGETALES EMPACADOS,0.0,2024-03-28,,0.0,,,,,
3999,5/2/2024 to 5/8/2024,CEBOLLA BLANCA LB. (CAJA),0000000003838,VEGETALES EMPACADOS,0.0,2024-05-02,,0.25,0.0,,,,
4003,5/30/2024 to 6/5/2024,CEBOLLA BLANCA LB. (CAJA),0000000003838,VEGETALES EMPACADOS,0.0,2024-05-30,,0.0,,,,,
4004,3/7/2024 to 3/13/2024,PIMIENTO ROJO LB. (CAJA),0000000003839,VEGETALES EMPACADOS,0.0,2024-03-07,,0.0,,,,,
4011,4/25/2024 to 5/1/2024,PIMIENTO ROJO LB. (CAJA),0000000003839,VEGETALES EMPACADOS,0.0,2024-04-25,,0.0,,,,,
4014,5/16/2024 to 5/22/2024,PIMIENTO ROJO LB. (CAJA),0000000003839,VEGETALES EMPACADOS,0.0,2024-05-16,,0.0,,,,,
4018,3/14/2024 to 3/20/2024,BERENJENA NEGRA,0000000003840,FRUTAS SUELTAS,0.0,2024-03-14,,0.0,,,,,
4022,4/11/2024 to 4/17/2024,BERENJENA NEGRA,0000000003840,FRUTAS SUELTAS,0.0,2024-04-11,,0.0,,,,,
4028,5/23/2024 to 5/29/2024,BERENJENA NEGRA,0000000003840,FRUTAS SUELTAS,0.0,2024-05-23,,0.0,,,,,
4032,3/21/2024 to 3/27/2024,PIMIENTO AMARILLO CAJA,0000000003841,VEGETALES EMPACADOS,0.0,2024-03-21,,0.0,,,,,
4033,3/28/2024 to 4/3/2024,PIMIENTO AMARILLO CAJA,0000000003841,VEGETALES EMPACADOS,0.0,2024-03-28,,0.0,,,,,
4059,3/28/2024 to 4/3/2024,BATATA CANOL CAJA,0000000003843,VEGETALES EMPACADOS,0.0,2024-03-28,,0.0,,,,,
4069,3/7/2024 to 3/13/2024,CEBOLLA ROJA 2 LB CAJA,0000000003844,VEGETALES EMPACADOS,0.0,2024-03-07,,0.0,,,,,
4073,4/4/2024 to 4/10/2024,CEBOLLA ROJA 2 LB CAJA,0000000003844,VEGETALES EMPACADOS,0.0,2024-04-04,,0.0,,,,,
4077,5/2/2024 to 5/8/2024,CEBOLLA ROJA 2 LB CAJA,0000000003844,VEGETALES EMPACADOS,0.0,2024-05-02,,0.0,,,,,
4080,5/23/2024 to 5/29/2024,CEBOLLA ROJA 2 LB CAJA,0000000003844,VEGETALES EMPACADOS,0.0,2024-05-23,,0.0,,,,,
4087,4/11/2024 to 4/17/2024,CEBOLLA ROJA LB. CAJA,0000000003845,VEGETALES EMPACADOS,0.0,2024-04-11,,0.0,,,,,
4190,4/4/2024 to 4/10/2024,GATORADE 20 OZ CAJA 24 CT,0000000003853,BEBIDAS,0.0,2024-04-04,,0.0,,,,,
5135,3/7/2024 to 3/13/2024,40070,0000000005019,MMS Default Major Category,0.0,2024-03-07,,0.0,,,,,
5179,4/11/2024 to 4/17/2024,CABBAGE RED CANADA,0000000005024,VEGETALES SUELTOS,0.0,2024-04-11,,0.0,,,,,
5186,5/30/2024 to 6/5/2024,CABBAGE RED CANADA,0000000005024,VEGETALES SUELTOS,0.0,2024-05-30,,0.0,,,,,
5245,4/18/2024 to 4/24/2024,SQUASH BUTTERNUT PUERTO RICO,0000000005036,VEGETALES SUELTOS,0.0,2024-04-18,,0.0,,,,,
5271,4/18/2024 to 4/24/2024,BROCCOLI CROWN U.S.,0000000005042,VEGETALES SUELTOS,0.0,2024-04-18,,0.0,,,,,
5274,5/9/2024 to 5/15/2024,BROCCOLI CROWN U.S.,0000000005042,VEGETALES SUELTOS,0.0,2024-05-09,,0.0,,,,,
5278,3/7/2024 to 3/13/2024,PIÑA CON CORONA PAN DE AZUCAR P.R.,0000000005051,FRUTAS SUELTAS,0.0,2024-03-07,,0.0,,,,,
5280,3/21/2024 to 3/27/2024,PIÑA CON CORONA PAN DE AZUCAR P.R.,0000000005051,FRUTAS SUELTAS,0.0,2024-03-21,,0.0,,,,,
5285,4/25/2024 to 5/1/2024,PIÑA CON CORONA PAN DE AZUCAR P.R.,0000000005051,FRUTAS SUELTAS,0.0,2024-04-25,,0.0,,,,,
5289,5/23/2024 to 5/29/2024,PIÑA CON CORONA PAN DE AZUCAR P.R.,0000000005051,FRUTAS SUELTAS,0.0,2024-05-23,,0.0,,,,,
5322,4/11/2024 to 4/17/2024,MAIZ TIERNO U.S.,0000000005061,VEGETALES EMPACADOS,3.0,2024-04-11,0.0,2.0,60.00000000000001,,,,
5347,4/4/2024 to 4/10/2024,RED CHEF POTATO U.S.,0000000005079,PAPAS,0.0,2024-04-04,,0.0,,,,,
5402,4/25/2024 to 5/1/2024,GUINEO VERDE DE PUERTO RICO,0000000005095,VEGETALES SUELTOS,0.0,2024-04-25,,0.0,,,,,
5405,5/16/2024 to 5/22/2024,GUINEO VERDE DE PUERTO RICO,0000000005095,VEGETALES SUELTOS,0.0,2024-05-16,,0.0,,,,,
5415,4/25/2024 to 5/1/2024,ÑAME HABANERO PUERTO RICO,0000000005099,VEGETALES SUELTOS,0.0,2024-04-25,,0.0,,,,,
5420,5/30/2024 to 6/5/2024,ÑAME HABANERO PUERTO RICO,0000000005099,VEGETALES SUELTOS,0.0,2024-05-30,,0.0,,,,,
5422,3/14/2024 to 3/20/2024,UA Item Imported on 3/3/2022,0000000005170,MMS Default Major Category,0.0,2024-03-14,,0.0,,,,,
5436,3/21/2024 to 3/27/2024,CADERA DESHUESADA CONG. CAJA 40LB US,0000000005201,POLLO,63.0,2024-03-21,0.6578947368421053,44.0,27.536231884057962,,,,
5441,4/25/2024 to 5/1/2024,CADERA DESHUESADA CONG. CAJA 40LB US,0000000005201,POLLO,29.0,2024-04-25,-0.06451612903225812,32.0,-11.111111111111116,,,,
5444,5/16/2024 to 5/22/2024,CADERA DESHUESADA CONG. CAJA 40LB US,0000000005201,POLLO,24.0,2024-05-16,-0.07692307692307687,26.75,-6.140350877192979,,,,
5448,3/14/2024 to 3/20/2024,PECHUGA DESHUESADA CAJA 40LBS US,0000000005202,POLLO,0.0,2024-03-14,,0.0,,,,,
5451,4/4/2024 to 4/10/2024,PECHUGA DESHUESADA CAJA 40LBS US,0000000005202,POLLO,0.0,2024-04-04,,0.0,,,,,
5764,4/11/2024 to 4/17/2024,UA Item Imported on 4/19/2022,0000000008006,MMS Default Major Category,0.0,2024-04-11,,0.0,,,,,
5834,5/16/2024 to 5/22/2024,MALTA SUELTA 24/7 OZ,0000000008118,MALTAS,0.0,2024-05-16,,0.0,,,,,
5837,3/7/2024 to 3/13/2024,ECONO SALCHICHA SABOR CRIOLL 48/5 OZ,0000000008127,SALCHICHAS,0.0,2024-03-07,,0.0,,,,,
5841,4/4/2024 to 4/10/2024,ECONO SALCHICHA SABOR CRIOLL 48/5 OZ,0000000008127,SALCHICHAS,0.0,2024-04-04,,0.0,,,,,
5843,4/18/2024 to 4/24/2024,ECONO SALCHICHA SABOR CRIOLL 48/5 OZ,0000000008127,SALCHICHAS,0.0,2024-04-18,,0.0,,,,,
6090,4/18/2024 to 4/24/2024,PIMIENTO BONNET HABANERO,0000000008326,VEGETALES SUELTOS,0.0,2024-04-18,,0.0,,,,,
6093,5/9/2024 to 5/15/2024,PIMIENTO BONNET HABANERO,0000000008326,VEGETALES SUELTOS,0.0,2024-05-09,,0.0,,,,,
6145,5/9/2024 to 5/15/2024,COCA COLA ZERO BIB 5GL,0000000008991,REFRESCOS,0.0,2024-05-09,,0.0,,,,,
6348,4/4/2024 to 4/10/2024,FCB VASO 16 OZ,0000000009884,SUMINISTROS,0.0,2024-04-04,,0.0,,,,,
6352,5/2/2024 to 5/8/2024,FCB VASO 16 OZ,0000000009884,SUMINISTROS,0.0,2024-05-02,,0.0,,,,,
6353,5/9/2024 to 5/15/2024,FCB VASO 16 OZ,0000000009884,SUMINISTROS,0.0,2024-05-09,,0.0,,,,,
6612,5/2/2024 to 5/8/2024,SH BEEF FOR STEW PUERTO RICO,0000000011045,CARNES,0.0,2024-05-02,,0.0,,,,,
6618,3/14/2024 to 3/20/2024,CL OSOBUCO PUERTO RICO,0000000011046,CARNES,0.0,2024-03-14,,0.0,,,,,
6622,4/11/2024 to 4/17/2024,CL OSOBUCO PUERTO RICO,0000000011046,CARNES,0.0,2024-04-11,,0.0,,,,,
7497,5/9/2024 to 5/15/2024,RIB EYE C/H ANGUS,0000000011188,PROGRAMA 5 STAR,0.0,2024-05-09,,0.0,,,,,
8354,5/2/2024 to 5/8/2024,RABO LANGOSTA CONG R/DOM 5OZ APROX,0000000011270,MARISCOS CONG/FRESCOS,0.0,2024-05-02,,0.0,,,,,
8599,4/18/2024 to 4/24/2024,LA HERENCIA COSTILLA SPARERIBS FCA,0000000011291,CARNES,0.0,2024-04-18,,0.0,,,,,
8621,3/21/2024 to 3/27/2024,SHORTLOIN CHOICE IOWA,0000000011293,CARNES,0.0,2024-03-21,,0.0,,,,,
8657,5/30/2024 to 6/5/2024,CORDERO FRESCO DEL PAIS,0000000011296,CARNES,0.0,2024-05-30,,0.0,,,,,
8707,5/16/2024 to 5/22/2024,BUTTERBAL PECHUGA PAVO COCIDA SLICE,0000000011303,PAVOS,0.0,2024-05-16,,0.0,,,,,
8889,5/16/2024 to 5/22/2024,TIBURON EN PORCIONES CONG TAIWAN,0000000011327,MARISCOS CONG/FRESCOS,0.0,2024-05-16,,0.0,,,,,
9160,5/2/2024 to 5/8/2024,CERDO PORK SIRLOIN BONELESS VAC CONG,0000000011404,CERDO,0.0,2024-05-02,,0.0,,,,,
9200,5/9/2024 to 5/15/2024,TORO DEL PAIS CON HUESO,0000000011408,CARNES,0.0,2024-05-09,,0.0,,,,,
14703,3/7/2024 to 3/13/2024,SIERRA ENTERA 5/15 CONG 50 LBS,0000000011945,CODIGOS SUBASTA MEAT,0.0,2024-03-07,,0.0,,,,,
15327,3/7/2024 to 3/13/2024,5 STAR LECHON DE ESPALDA ST USDA,0000000011996,CODIGOS SUBASTA MEAT,0.0,2024-03-07,,0.0,,,,,
15480,5/16/2024 to 5/22/2024,PC YELLOW MUSTARD 54% LOW,0000000016203,DELI CONF. ALIMENTOS,0.0,2024-05-16,,0.0,,,,,
15613,3/7/2024 to 3/13/2024,BOTELLA DE AGUA,0000000020130,DELI CONF. ALIMENTOS,0.0,2024-03-07,,0.0,,,,,
15788,4/18/2024 to 4/24/2024,PEPSI LIGHT BAG IN A BOX,0000000029002,REFRESCOS,0.0,2024-04-18,,0.0,,,,,
16060,4/11/2024 to 4/17/2024,LEGRUYERE SWITZERLAND CHEESE 10#,0000000056055,QUESOS,0.0,2024-04-11,,0.0,,,,,
16135,3/21/2024 to 3/27/2024,AVENA 8 OZ,0000000061500,PLANTAS/SEMILLAS,0.0,2024-03-21,,0.0,,,,,
16628,3/14/2024 to 3/20/2024,COMBO CHURRASCO,0000000061545,PLANTAS/SEMILLAS,0.0,2024-03-14,,0.0,,,,,
16642,3/21/2024 to 3/27/2024,ALCAPURRIAS,0000000061546,DELI CONF. ALIMENTOS,0.0,2024-03-21,,0.0,,,,,
16745,3/14/2024 to 3/20/2024,TOSTADAS QUESO SUIZO,0000000061554,PLANTAS/SEMILLAS,0.0,2024-03-14,,0.0,,,,,
16762,4/11/2024 to 4/17/2024,TOSTADAS QUESO BOLA,0000000061555,PLANTAS/SEMILLAS,0.0,2024-04-11,,0.0,,,,,
17514,3/28/2024 to 4/3/2024,AREPAS,0000000075774,PLANTAS/SEMILLAS,0.0,2024-03-28,,0.0,,,,,
17836,3/7/2024 to 3/13/2024,PASTRY TIME LEMON FILLING 2 LB,0000001062900,BIZCOCHOS/DULCES,0.0,2024-03-07,,0.0,,,,,
18000,5/2/2024 to 5/8/2024,MI PAN LAMINADO TURNOVER PIÑA 40 CT,0000001111241,BIZCOCHOS/DULCES,0.0,2024-05-02,,0.0,,,,,
18130,5/2/2024 to 5/8/2024,LBN-9824 24CT CUPCAKE 50/CS,0000001270010,SUMINISTROS,0.0,2024-05-02,,0.0,,,,,
18196,5/9/2024 to 5/15/2024,EXCELSIOR LASAGNA 16 OZ,0000001352015,DELI CONF. ALIMENTOS,0.0,2024-05-09,,0.0,,,,,
18674,4/18/2024 to 4/24/2024,PIDY TART SHELL 3.25 OZ,0000006108582,BIZCOCHOS/DULCES,0.0,2024-04-18,,0.0,,,,,
19331,3/7/2024 to 3/13/2024,HEINZ MARINARA SAUCE 6/10 LB,0000013001381,DELI CONF. ALIMENTOS,0.0,2024-03-07,,0.0,,,,,
19436,3/14/2024 to 3/20/2024,8 OZ DELI CLEAR 240 CT,0000013990003,SUMINISTROS,0.0,2024-03-14,,0.0,,,,,
20642,5/23/2024 to 5/29/2024,HONGO KILLER ANTIFUNGAL CREMA .5 OZ,0000085610650,MEDICINAS OTC,1.0,2024-05-23,0.0,0.75,-25.0,,,,
20879,3/14/2024 to 3/20/2024,MEAT FILM 16X5000 1 ROLL,0000125781501,SUMINISTROS,0.0,2024-03-14,,0.0,,,,,
21264,5/9/2024 to 5/15/2024,DISPENSER ABS RED 3XPT,0000141004741,SUMINISTROS,0.0,2024-05-09,,0.0,,,,,
21326,4/18/2024 to 4/24/2024,BOLSA PARA JANITOR CAR,0000177018691,SUMINISTROS,0.0,2024-04-18,,0.0,,,,,
22024,3/21/2024 to 3/27/2024,KALE GREEN CHOPPED 16 OZ,0000400200259,VEGETALES EMPACADOS,0.0,2024-03-21,,0.0,,,,,
22675,3/28/2024 to 4/3/2024,PAN DE MAIZ 1/2 PLACA,0000762658003,BIZCOCHOS/DULCES,0.0,2024-03-28,,0.0,,,,,
23431,4/11/2024 to 4/17/2024,TIC TAC BOTTLE BERRY CHERRY 200 CT,0000980000635,DULCES/AZUCAR,0.0,2024-04-11,,0.0,,,,,
23529,5/30/2024 to 6/5/2024,TIC TAC WINTERGREEN 1 OZ,0000980000767,DULCES/AZUCAR,0.0,2024-05-30,,0.0,,,,,
23625,4/4/2024 to 4/10/2024,FERRERO ROCHER SAN VALENTIN 5 CT,0000980012050,CHOCOLATE (DULCES),0.0,2024-04-04,,0.0,,,,,
24758,4/18/2024 to 4/24/2024,NUTELLA 105.60 OZ,0000980080603,BIZCOCHOS/DULCES,0.0,2024-04-18,,0.0,,,,,
25283,5/23/2024 to 5/29/2024,LA AGUADILLANA BISTEC CERDO EMP 12OZ,0001015310103,EMPANADOS,8.0,2024-05-23,0.0,8.5,-12.82051282051282,,,,
25289,4/4/2024 to 4/10/2024,LA AGUADILLANA PAVO EMPANADO 12OZ,0001015310104,EMPANADOS,9.0,2024-04-04,0.0,8.0,14.28571428571428,,,,
25593,5/9/2024 to 5/15/2024,RIVER CANE CHICKEN TENDERS 10 LBS,0001015317712,"ADOBADOS,EMPANADOS",0.0,2024-05-09,,0.0,,,,,
25780,3/14/2024 to 3/20/2024,TASTY WHIPPED DULCE DE LECHE 7LB,0001020000822,BIZCOCHOS/DULCES,0.0,2024-03-14,,0.0,,,,,
25799,4/25/2024 to 5/1/2024, WILKINSON CLAMSHELL 160 CT,0001020000838,BIZCOCHOS/DULCES,0.0,2024-04-25,,0.0,,,,,
25823,4/11/2024 to 4/17/2024,R&H COCO MACAROON MIX 25#,0001020000847,BIZCOCHOS/DULCES,0.0,2024-04-11,,0.0,,,,,
25928,4/18/2024 to 4/24/2024,KISSES ESPECIAL TRUFA  3.88 OZ,0001024596676,CHOCOLATE (DULCES),0.0,2024-04-18,,0.0,,,,,
26209,3/14/2024 to 3/20/2024,EVERGREEN ABONO 30-10-10 8 OZ,0001036500027,ABONO,11.0,2024-03-14,-0.2666666666666667,13.0,-13.33333333333333,,,,
29132,5/30/2024 to 6/5/2024,DBC CANTINFLAS CARROT 1.5 OZ,0001102400009,BIZCOCHOS/DULCES,0.0,2024-05-30,,0.0,,,,,
29919,4/18/2024 to 4/24/2024,DOVE LIQ HAND WASH ALOE & EUC 6.8 OZ,0001111101437,JABON LIQUIDO,0.0,2024-04-18,,0.0,,,,,
30244,4/18/2024 to 4/24/2024,CARESS BW POMEGRANATE & COCONUT 20OZ,0001111104141,JABON LIQUIDO,7.0,2024-04-18,1.3333333333333335,3.25,85.71428571428572,,,,
30248,5/16/2024 to 5/22/2024,CARESS BW POMEGRANATE & COCONUT 20OZ,0001111104141,JABON LIQUIDO,9.0,2024-05-16,0.2857142857142858,5.0,11.111111111111116,,,,
30265,3/14/2024 to 3/20/2024,CARESS BW PEONY ALMOND BLOSSOM 20OZ,0001111104144,JABON LIQUIDO,10.0,2024-03-14,2.3333333333333335,6.5,116.66666666666666,,,,
30334,4/11/2024 to 4/17/2024,DOVE BAR PEACH REBALANCING 4/3.75OZ,0001111104897,JABON BAÑO EN BARRA,0.0,2024-04-11,,0.0,,,,,
30367,5/30/2024 to 6/5/2024,CARESS BAR SOAP VELVET BLISS 6 PK,0001111106592,JABON BAÑO EN BARRA,0.0,2024-05-30,,0.0,,,,,
30371,3/28/2024 to 4/3/2024,DOVE GO FRESH POMEG BODY WASH 22 OZ,0001111107470,JABON LIQUIDO,0.0,2024-03-28,,0.0,,,,,
30373,4/11/2024 to 4/17/2024,DOVE GO FRESH POMEG BODY WASH 22 OZ,0001111107470,JABON LIQUIDO,0.0,2024-04-11,,0.0,,,,,
30375,4/25/2024 to 5/1/2024,DOVE GO FRESH POMEG BODY WASH 22 OZ,0001111107470,JABON LIQUIDO,0.0,2024-04-25,,0.0,,,,,
30383,3/21/2024 to 3/27/2024,DOVE BAR NOURISH SHEA BUTT 2/4 OZ,0001111107624,JABON BAÑO EN BARRA,13.0,2024-03-21,-0.3157894736842105,16.333333333333332,-9.259259259259267,,,,
30387,4/18/2024 to 4/24/2024,DOVE BAR NOURISH SHEA BUTT 2/4 OZ,0001111107624,JABON BAÑO EN BARRA,11.0,2024-04-18,-0.42105263157894735,13.25,-3.6363636363636376,,,,
30390,5/9/2024 to 5/15/2024,DOVE BAR NOURISH SHEA BUTT 2/4 OZ,0001111107624,JABON BAÑO EN BARRA,16.0,2024-05-09,0.6000000000000001,11.75,-6.000000000000005,,,,
30398,4/4/2024 to 4/10/2024,DOVE BAR NOURISH SHEA BUTT 6/3.75 OZ,0001111107626,JABON BAÑO EN BARRA,24.0,2024-04-04,0.09090909090909083,22.75,12.34567901234569,,,,
30411,4/4/2024 to 4/10/2024,DOVE GO FRESH COCONT & JASMINE 22 OZ,0001111107973,JABON LIQUIDO,3.0,2024-04-04,0.0,2.0,-11.111111111111116,,,,
30413,4/18/2024 to 4/24/2024,DOVE GO FRESH COCONT & JASMINE 22 OZ,0001111107973,JABON LIQUIDO,3.0,2024-04-18,-0.5714285714285714,4.0,14.28571428571428,,,,
30417,5/16/2024 to 5/22/2024,DOVE GO FRESH COCONT & JASMINE 22 OZ,0001111107973,JABON LIQUIDO,1.0,2024-05-16,-0.6666666666666667,1.75,-22.22222222222222,,,,
30420,3/7/2024 to 3/13/2024,CARESS SHEER TWILIGHT 18 OZ,0001111111093,JABON LIQUIDO,0.0,2024-03-07,,0.0,,,,,
30422,3/21/2024 to 3/27/2024,CARESS SHEER TWILIGHT 18 OZ,0001111111093,JABON LIQUIDO,0.0,2024-03-21,,0.0,,,,,
30537,3/7/2024 to 3/13/2024,DOVE RESTORE 2/4 OZ,0001111126594,JABON BAÑO EN BARRA,0.0,2024-03-07,,0.0,,,,,
30792,5/2/2024 to 5/8/2024,DOVE BAR REVITALIZE 2/3.75 OZ,0001111143322,JABON BAÑO EN BARRA,0.0,2024-05-02,,0.0,,,,,
30795,5/23/2024 to 5/29/2024,DOVE BAR REVITALIZE 2/3.75 OZ,0001111143322,JABON BAÑO EN BARRA,0.0,2024-05-23,,0.0,,,,,
30799,3/21/2024 to 3/27/2024,DOVE BAR REVITALIZE 6/4 OZ,0001111143324,JABON BAÑO EN BARRA,0.0,2024-03-21,,0.0,,,,,
30800,3/28/2024 to 4/3/2024,DOVE BAR REVITALIZE 6/4 OZ,0001111143324,JABON BAÑO EN BARRA,0.0,2024-03-28,,0.0,,,,,
30821,5/23/2024 to 5/29/2024,CARESS PURE EMBRACE 18 OZ,0001111147137,JABON LIQUIDO,0.0,2024-05-23,,0.0,,,,,
30837,3/14/2024 to 3/20/2024,CARESS BAR BRAZILIAN GARDENIA 3 CT,0001111147151,JABON BAÑO EN BARRA,0.0,2024-03-14,,0.0,,,,,
30839,3/28/2024 to 4/3/2024,CARESS BAR BRAZILIAN GARDENIA 3 CT,0001111147151,JABON BAÑO EN BARRA,0.0,2024-03-28,,0.0,,,,,
31008,3/28/2024 to 4/3/2024,DOVE BAR WHITE 6/3.75 OZ,0001111161011,JABON BAÑO EN BARRA,90.0,2024-03-28,-0.04255319148936165,92.75,-0.9786476868327454,1111161011,0.0,0001111161011,0.0
31886,5/16/2024 to 5/22/2024,HUNGRY JACK FOUR  CHEESE 5 OZ,0001114011042,PAPAS MAJADAS,0.0,2024-05-16,,0.0,,,,,
33517,3/28/2024 to 4/3/2024,1/4 PAD GOLD 1/100,0001160000720,SUMINISTROS,0.0,2024-03-28,,0.0,,,,,
34996,3/7/2024 to 3/13/2024,DECO SPINKLES RAINBOW 26OZ,0001210000035,BIZCOCHOS/DULCES,0.0,2024-03-07,,0.0,,,,,
35933,3/14/2024 to 3/20/2024,POLKA DOTS WINE GIFT BAG,0001238712346,ARTICULOS DE CUMPLEAÑOS,0.0,2024-03-14,,0.0,,,,,
36621,3/7/2024 to 3/13/2024,STRIDE ICYMINT 14 PIECES,0001254600943,GOMA DE MASCAR,0.0,2024-03-07,,0.0,,,,,
36628,4/25/2024 to 5/1/2024,STRIDE ICYMINT 14 PIECES,0001254600943,GOMA DE MASCAR,0.0,2024-04-25,,0.0,,,,,
38929,4/25/2024 to 5/1/2024,REF REFRIGERANTE 50 LBS,0001257800250,SUMINISTROS,0.0,2024-04-25,,0.0,,,,,
39873,3/21/2024 to 3/27/2024,TAPAS GOURMET 793,0001257800793,SUMINISTROS,0.0,2024-03-21,,0.0,,,,,
39875,4/4/2024 to 4/10/2024,TAPAS GOURMET 793,0001257800793,SUMINISTROS,0.0,2024-04-04,,0.0,,,,,
39880,5/9/2024 to 5/15/2024,TAPAS GOURMET 793,0001257800793,SUMINISTROS,0.0,2024-05-09,,0.0,,,,,
39884,3/7/2024 to 3/13/2024,MONIN CARAMEL SAUCE 64 OZ,0001257800797,DELI CONF. ALIMENTOS,0.0,2024-03-07,,0.0,,,,,
39888,4/4/2024 to 4/10/2024,MONIN CARAMEL SAUCE 64 OZ,0001257800797,DELI CONF. ALIMENTOS,0.0,2024-04-04,,0.0,,,,,
39892,5/2/2024 to 5/8/2024,MONIN CARAMEL SAUCE 64 OZ,0001257800797,DELI CONF. ALIMENTOS,0.0,2024-05-02,,0.0,,,,,
39895,5/23/2024 to 5/29/2024,MONIN CARAMEL SAUCE 64 OZ,0001257800797,DELI CONF. ALIMENTOS,0.0,2024-05-23,,0.0,,,,,
39897,3/7/2024 to 3/13/2024,TOCINO SECO 25 LBS,0001257800798,BACALAO,0.0,2024-03-07,,0.0,,,,,
39905,5/2/2024 to 5/8/2024,TOCINO SECO 25 LBS,0001257800798,BACALAO,0.0,2024-05-02,,0.0,,,,,
39908,5/23/2024 to 5/29/2024,TOCINO SECO 25 LBS,0001257800798,BACALAO,0.0,2024-05-23,,0.0,,,,,
39913,3/28/2024 to 4/3/2024,TOCINO SECO 30 LBS,0001257800799,BACALAO,0.0,2024-03-28,,0.0,,,,,
39920,5/16/2024 to 5/22/2024,TOCINO SECO 30 LBS,0001257800799,BACALAO,0.0,2024-05-16,,0.0,,,,,
39926,3/28/2024 to 4/3/2024,MONIN HANZELNUT 750 ML,0001257800802,DELI CONF. ALIMENTOS,0.0,2024-03-28,,0.0,,,,,
39930,4/25/2024 to 5/1/2024,MONIN HANZELNUT 750 ML,0001257800802,DELI CONF. ALIMENTOS,0.0,2024-04-25,,0.0,,,,,
39934,5/23/2024 to 5/29/2024,MONIN HANZELNUT 750 ML,0001257800802,DELI CONF. ALIMENTOS,0.0,2024-05-23,,0.0,,,,,
39948,5/30/2024 to 6/5/2024,MONIN CARAMEL 750 ML,0001257800803,DELI CONF. ALIMENTOS,0.0,2024-05-30,,0.0,,,,,
39950,3/14/2024 to 3/20/2024,MONIN COCONUT 750 ML,0001257800805,DELI CONF. ALIMENTOS,0.0,2024-03-14,,0.0,,,,,
39954,4/11/2024 to 4/17/2024,MONIN COCONUT 750 ML,0001257800805,DELI CONF. ALIMENTOS,0.0,2024-04-11,,0.0,,,,,
39958,5/9/2024 to 5/15/2024,MONIN COCONUT 750 ML,0001257800805,DELI CONF. ALIMENTOS,0.0,2024-05-09,,0.0,,,,,
39962,3/7/2024 to 3/13/2024,MONIN VAINILLA 750 ML,0001257800808,DELI CONF. ALIMENTOS,0.0,2024-03-07,,0.0,,,,,
39967,4/11/2024 to 4/17/2024,MONIN VAINILLA 750 ML,0001257800808,DELI CONF. ALIMENTOS,0.0,2024-04-11,,0.0,,,,,
39969,4/25/2024 to 5/1/2024,MONIN VAINILLA 750 ML,0001257800808,DELI CONF. ALIMENTOS,0.0,2024-04-25,,0.0,,,,,
43973,4/25/2024 to 5/1/2024,FANTA CHINA 24PK/12OZ,0001257807480,REFRESCOS,0.0,2024-04-25,,0.0,,,,,
43981,3/21/2024 to 3/27/2024,FANTA UVA 24PK/12OZ,0001257807481,REFRESCOS,0.0,2024-03-21,,0.0,,,,,
44010,4/11/2024 to 4/17/2024,TUBE GUARD W/END CAPS T12/ 8FT,0001257807966,SUMINISTROS,0.0,2024-04-11,,0.0,,,,,
44035,4/4/2024 to 4/10/2024,CARTON 1/2 PLACA 50 CT,0001257808064,SUMINISTROS,0.0,2024-04-04,,0.0,,,,,
